(1, 2), 1.0
(1, 4), 1.0
(1, 5), 1.5683256674425912
(2, 1), 4.657597535965107
(3, 3), 3.0
(4, 4), 3.5050029734328474
(5, 1), 2.586406866934817
(5, 2), 4.539852143274253
(6, 4), 1.1373461252892507
(7, 1), 2.2418503832468075
(7, 6), 1.4672641785187477
(8, 1), 1.5771671854277227
(9, 2), 4.25333139266423
(9, 4), 4.141032213566125
(9, 5), 4.520809622266439
(9, 6), 4.536889128793153
(10, 1), 3.7581496167531925
(10, 6), 4.532735821481253
(12, 1), 4.26751846588298
(12, 3), 3.701460255012215
(12, 4), 3.9899940531343057
(12, 6), 3.8267026507643838
