Manhattan,1,2,3,4,5,6,7,8,9,10
1,0,2341.017219,11929.30015,651.1874881,496.3315212,947.7432365,770.7373835,1056.799501,1260.510561,737.7135731
2,,0,9597.441187,2778.945762,2830.144528,3280.359168,3104.285771,3388.982648,2380.460958,1605.270129
3,,,0,12323.28757,12421.26308,12871.48343,12695.5542,12979.13318,10775.93919,11196.78698
4,,,,0,335.951213,558.4692582,382.4633301,667.5332296,1653.825887,1379.165173
5,,,,,0,452.8613307,276.3264915,561.8492485,1755.105533,1226.660355
6,,,,,,0,177.5931624,110.217624,2205.307383,1677.666864
7,,,,,,,0,287.4297077,2028.901616,1500.99341
8,,,,,,,,0,2314.667455,1786.811316
9,,,,,,,,,0,1006.367826
10,,,,,,,,,,0
