Manhattan,1,2,3,4,5,6,7,8,9,10
1,0,728.924314,3797.899078,212.1810904,374.8904225,577.4020758,499.1578939,645.7697775,1731.064307,406.7012251
2,,0,3072.88869,935.8853379,1100.833091,1303.895723,1225.351713,1372.092205,1005.293046,490.9280582
3,,,0,4001.038052,4170.304533,4372.788719,4294.952834,4440.719768,2513.42266,3396.420003
4,,,,0,171.3651542,375.2479209,296.2547235,443.4984454,1934.08696,609.7493216
5,,,,,0,204.5229236,125.5967862,272.9349128,2102.864923,779.3972267
6,,,,,,0,79.40168444,69.58987632,2306.380251,983.0196807
7,,,,,,,0,147.8657091,2227.555857,904.37025
8,,,,,,,,0,2374.54543,1050.916221
9,,,,,,,,,0,1327.58398
10,,,,,,,,,,0
